	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	FE IH	FE IH
										
Dl_ln	1.04$^a$	1.05$^a$	1.02$^a$	1.00$^a$	0.93$^a$	1.09$^a$	0.90$^a$	0.82$^a$	1.03$^a$	1.03$^a$
	(0.046)	(0.047)	(0.040)	(0.040)	(0.038)	(0.058)	(0.056)	(0.092)	(0.054)	(0.050)
_Iyear_2	-0.14$^a$	-0.15$^a$	-0.13$^a$	-0.13$^a$	-0.064$^b$	-0.18$^a$	-0.12$^b$	-0.099	-0.14$^a$	0.25$^b$
	(0.016)	(0.016)	(0.015)	(0.015)	(0.029)	(0.023)	(0.049)	(0.10)	(0.015)	(0.12)
_Imsa_160									0.27$^c$	0.28$^c$
									(0.15)	(0.15)
_Imsa_200									0.26	0.43$^b$
									(0.17)	(0.19)
_Imsa_240									0.31$^c$	-0.13
									(0.17)	(0.24)
_Imsa_320									0.12	0.0015
									(0.20)	(0.12)
_Imsa_450									0.33$^b$	-0.11
									(0.17)	(0.23)
_Imsa_480									0.27$^c$	-0.17$^c$
									(0.15)	(0.097)
_Imsa_520									0.15	-0.045
									(0.18)	(0.18)
_Imsa_580									0.44$^a$	0.26
									(0.15)	(0.24)
_Imsa_600									0.34$^c$	-0.0089
									(0.18)	(0.20)
_Imsa_640									0.048	0.11
									(0.16)	(0.16)
_Imsa_680									0.29$^c$	0.025
									(0.15)	(0.19)
_Imsa_733									0.30$^c$	0.077
									(0.17)	(0.19)
_Imsa_760									0.12	-0.070
									(0.15)	(0.14)
_Imsa_840									0.017	-0.44$^b$
									(0.23)	(0.18)
_Imsa_860									0.24	0.30$^c$
									(0.17)	(0.18)
_Imsa_870									0.18	-0.19
									(0.15)	(0.12)
_Imsa_880									0.16	0.38$^b$
									(0.17)	(0.16)
_Imsa_920									0.29$^c$	0.050
									(0.15)	(0.19)
_Imsa_960									0.19	0.020
									(0.20)	(0.21)
_Imsa_1000									0.19	-0.13
									(0.16)	(0.12)
_Imsa_1010									0.098	0.38$^b$
									(0.17)	(0.17)
_Imsa_1040									0.30$^b$	0.50$^a$
									(0.15)	(0.17)
_Imsa_1080									0.33$^c$	0.51$^b$
									(0.18)	(0.24)
_Imsa_1123									0.12	0.028
									(0.15)	(0.10)
_Imsa_1280									0.18	-0.15
									(0.15)	(0.12)
_Imsa_1303									0.27	0.38$^b$
									(0.18)	(0.18)
_Imsa_1320									0.055	-0.61$^a$
									(0.15)	(0.20)
_Imsa_1350									-0.016	0.40$^b$
									(0.22)	(0.19)
_Imsa_1360									0.31$^c$	0.31$^c$
									(0.18)	(0.18)
_Imsa_1400									0.19	0.69$^a$
									(0.15)	(0.23)
_Imsa_1440									0.26	0.15
									(0.20)	(0.17)
_Imsa_1480									0.26	0.039
									(0.20)	(0.26)
_Imsa_1520									0.24	0.035
									(0.15)	(0.17)
_Imsa_1540									0.30	0.58
