	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)
VARIABLES	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	OLS IH	FE IH	FE IH
										
Dl_ln	1.04$^a$	1.05$^a$	1.02$^a$	1.00$^a$	0.92$^a$	1.07$^a$	0.90$^a$	0.82$^a$	1.03$^a$	1.03$^a$
	(0.046)	(0.046)	(0.040)	(0.040)	(0.037)	(0.056)	(0.052)	(0.086)	(0.038)	(0.035)
_Iyear_2	-0.14$^a$	-0.15$^a$	-0.13$^a$	-0.13$^a$	-0.059$^b$	-0.17$^a$	-0.10$^b$	-0.091	-0.14$^a$	0.26$^a$
	(0.015)	(0.015)	(0.014)	(0.015)	(0.030)	(0.025)	(0.050)	(0.11)	(0.011)	(0.094)
_Imsa_160									0.27$^a$	0.23$^c$
									(0.10)	(0.12)
_Imsa_200									0.26$^b$	0.37$^b$
									(0.12)	(0.15)
_Imsa_240									0.31$^b$	-0.47
									(0.12)	(0.30)
_Imsa_320									0.12	0.59$^a$
									(0.14)	(0.14)
_Imsa_450									0.33$^a$	0.59$^c$
									(0.12)	(0.34)
_Imsa_480									0.27$^a$	1.35$^a$
									(0.10)	(0.46)
_Imsa_520									0.15	0.39$^c$
									(0.13)	(0.23)
_Imsa_580									0.44$^a$	1.07$^a$
									(0.10)	(0.39)
_Imsa_600									0.34$^a$	0.31$^b$
									(0.12)	(0.14)
_Imsa_640									0.048	0.95$^a$
									(0.11)	(0.26)
_Imsa_680									0.29$^a$	-0.16
									(0.10)	(0.22)
_Imsa_733									0.30$^b$	0.71$^b$
									(0.12)	(0.30)
_Imsa_760									0.12	0.39$^b$
									(0.10)	(0.18)
_Imsa_840									0.017	0.059
									(0.16)	(0.14)
_Imsa_860									0.24$^b$	0.25$^c$
									(0.12)	(0.15)
_Imsa_870									0.18	0.68$^a$
									(0.11)	(0.16)
_Imsa_880									0.16	0.062
									(0.12)	(0.22)
_Imsa_920									0.29$^a$	0.34$^b$
									(0.11)	(0.14)
_Imsa_960									0.19	0.031
									(0.14)	(0.15)
_Imsa_1000									0.19$^c$	0.79$^a$
									(0.11)	(0.19)
_Imsa_1010									0.098	0.048
									(0.12)	(0.23)
_Imsa_1040									0.30$^a$	-0.043
									(0.10)	(0.34)
_Imsa_1080									0.33$^a$	0.36$^c$
									(0.13)	(0.22)
_Imsa_1123									0.12	0.53$^a$
									(0.10)	(0.13)
_Imsa_1280									0.18$^c$	0.66$^a$
									(0.11)	(0.14)
_Imsa_1303									0.27$^b$	0.29$^b$
									(0.13)	(0.15)
_Imsa_1320									0.055	0.0051
									(0.10)	(0.070)
_Imsa_1350									-0.016	-0.87
									(0.15)	(0.67)
_Imsa_1360									0.31$^b$	-0.41
									(0.13)	(0.44)
_Imsa_1400									0.19$^c$	0.49$^a$
									(0.10)	(0.19)
_Imsa_1440									0.26$^c$	0.30$^a$
									(0.14)	(0.100)
_Imsa_1480									0.26$^c$	-0.18
