	(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)
VARIABLES	IH83	IH83	IH83	IH83	IH93	IH93	IH93	IH93	IH03	IH03	IH03	IH03
												
l_ln	0.92$^a$	0.95$^a$	0.93$^a$	1.20$^a$	0.73$^a$	0.76$^a$	0.78$^a$	1.11$^a$	0.71$^a$	0.75$^a$	0.77$^a$	0.93$^a$
	(0.058)	(0.056)	(0.054)	(0.14)	(0.045)	(0.040)	(0.040)	(0.16)	(0.046)	(0.042)	(0.044)	(0.14)
l_max_bus	-0.025	0.044$^c$	0.049$^c$	0.055	-0.012	0.031$^c$	0.046$^b$	0.14$^c$	-0.044$^c$	-0.0058	0.022	0.11
	(0.023)	(0.025)	(0.026)	(0.13)	(0.017)	(0.018)	(0.020)	(0.085)	(0.024)	(0.030)	(0.033)	(0.10)
l_pop	0.48$^a$	0.34$^a$	1.01$^a$	0.13	0.56$^a$	0.46$^a$	0.39	0.017	0.59$^a$	0.50$^a$	0.35	0.20
	(0.060)	(0.068)	(0.36)	(0.28)	(0.051)	(0.052)	(0.25)	(0.22)	(0.053)	(0.060)	(0.36)	(0.21)
elevat_range_msa		-0.046	-0.072	-0.055		-0.027	-0.049	-0.0097		-0.026	-0.032	-0.0089
		(0.061)	(0.055)	(0.074)		(0.056)	(0.054)	(0.070)		(0.054)	(0.048)	(0.056)
ruggedness_msa		5.65	4.15	6.51		5.41$^c$	3.37	4.65		5.81$^c$	3.19	4.33
		(3.81)	(3.47)	(5.14)		(3.13)	(3.13)	(4.44)		(3.21)	(3.35)	(4.55)
heating_dd		-0.015$^a$	-0.017$^a$	-0.019$^b$		-0.013$^a$	-0.015$^a$	-0.020$^a$		-0.011$^a$	-0.013$^a$	-0.015$^a$
		(0.0045)	(0.0051)	(0.0077)		(0.0035)	(0.0037)	(0.0056)		(0.0035)	(0.0037)	(0.0044)
cooling_dd		-0.021$^b$	-0.030$^b$	-0.031$^b$		-0.019$^a$	-0.025$^a$	-0.026$^a$		-0.019$^b$	-0.021$^b$	-0.021$^b$
		(0.010)	(0.012)	(0.014)		(0.0072)	(0.0093)	(0.0093)		(0.0078)	(0.0091)	(0.0086)
sprawl		0.0072$^b$	0.0073$^b$	0.0026		0.0043	0.0033	0.0042		0.0019	0.0019	0.0030
		(0.0032)	(0.0037)	(0.0050)		(0.0027)	(0.0030)	(0.0042)		(0.0028)	(0.0029)	(0.0035)
S_somecollege			0.83				0.69				0.83$^b$	
			(0.61)				(0.44)				(0.38)	
l_mean_income			-0.63				-0.59$^c$				-0.61$^c$	
			(0.39)				(0.34)				(0.32)	
seg1980_ghetto			0.044				0.081				0.066	
			(0.073)				(0.049)				(0.049)	
S_poor			0.11				-0.091				-1.03	
			(0.64)				(0.66)				(0.83)	
S_manuf			0.069				0.45				0.54	
			(0.32)				(0.30)				(0.39)	
l_pop70			-0.71				-0.43				-0.40	
			(0.61)				(0.48)				(0.52)	
l_pop60			0.22				-0.24				-0.38	
			(0.48)				(0.40)				(0.42)	
l_pop50			-0.41				-0.34				-0.10	
			(0.35)				(0.32)				(0.31)	
l_pop40			0.15				0.28				0.13	
			(0.39)				(0.31)				(0.27)	
l_pop30			0.083				-0.075				-0.025	
			(0.31)				(0.26)				(0.25)	
l_pop20			0.037				0.15				0.099	
			(0.15)				(0.13)				(0.12)	
o.div1		-	-			-	-			-	-	
												
div2		-0.050	0.014	0.19		-0.32$^a$	-0.29$^b$	0.19		-0.21$^b$	-0.15	0.18
